timestamp;pond;ph;do;temp
01/01/26 00.00;Catfish;7.16;4.65;28.7
01/01/26 00.15;Catfish;7.12;4.57;28.67
01/01/26 00.30;Catfish;6.98;4.53;28.58
01/01/26 00.45;Catfish;7.07;4.56;28.62
01/01/26 01.00;Catfish;6.99;4.45;28.6
01/01/26 01.15;Catfish;7.08;4.15;28.63
01/01/26 01.30;Catfish;6.99;4.41;28.82
01/01/26 01.45;Catfish;7.13;4.39;28.66
01/01/26 02.00;Catfish;7.09;4.73;28.76
01/01/26 02.15;Catfish;7.14;4.23;28.68
01/01/26 02.30;Catfish;7.02;4.62;28.9
01/01/26 02.45;Catfish;7.06;4.6;28.87
01/01/26 03.00;Catfish;7.16;4.6;28.97
01/01/26 03.15;Catfish;7.02;4.39;28.81
01/01/26 03.30;Catfish;7.14;4.38;28.92
01/01/26 03.45;Catfish;7.16;4.68;29.14
01/01/26 04.00;Catfish;7.02;4.78;29.13
01/01/26 04.15;Catfish;7.08;4.39;29.1
01/01/26 04.30;Catfish;7.1;4.82;29.23
01/01/26 04.45;Catfish;7.08;4.87;29.07
01/01/26 05.00;Catfish;6.97;4.69;29.32
01/01/26 05.15;Catfish;7.04;4.8;29.22
01/01/26 05.30;Catfish;6.95;4.91;29.15
01/01/26 05.45;Catfish;6.98;4.51;29.16
01/01/26 06.00;Catfish;7.08;4.64;29.18
01/01/26 06.15;Catfish;7.04;4.62;29.44
01/01/26 06.30;Catfish;7.06;5.1;29.31
01/01/26 06.45;Catfish;6.94;5.26;29.67
01/01/26 07.00;Catfish;6.99;4.77;29.43
01/01/26 07.15;Catfish;7.04;4.12;29.37
01/01/26 07.30;Catfish;6.94;4.85;29.56
01/01/26 07.45;Catfish;7.16;4.61;29.54
01/01/26 08.00;Catfish;7.04;5.05;29.45
01/01/26 08.15;Catfish;7.05;5.1;29.54
01/01/26 08.30;Catfish;7.1;4.51;29.43
01/01/26 08.45;Catfish;7.13;5.16;29.66
01/01/26 09.00;Catfish;7.08;4.81;29.61
01/01/26 09.15;Catfish;7.09;5.17;29.59
01/01/26 09.30;Catfish;7.04;4.98;29.75
01/01/26 09.45;Catfish;7.21;5.08;29.89
01/01/26 10.00;Catfish;7.33;5.26;29.83
01/01/26 10.15;Catfish;7.18;5.57;29.67
01/01/26 10.30;Catfish;7.06;5.26;29.75
01/01/26 10.45;Catfish;7.13;5.17;29.79
01/01/26 11.00;Catfish;7.12;5.48;29.81
01/01/26 11.15;Catfish;7.12;5.45;29.78
01/01/26 11.30;Catfish;6.98;5.43;29.75
01/01/26 11.45;Catfish;7.07;5.21;29.93
01/01/26 12.00;Catfish;7.22;5.46;29.78
01/01/26 12.15;Catfish;7.15;5.49;29.75
01/01/26 12.30;Catfish;7.21;5.36;29.58
01/01/26 12.45;Catfish;7.16;5.15;29.65
01/01/26 13.00;Catfish;6.96;5.25;29.58
01/01/26 13.15;Catfish;7.32;5.3;29.67
01/01/26 13.30;Catfish;7.29;5.27;29.5
01/01/26 13.45;Catfish;7.19;5.39;29.53
01/01/26 14.00;Catfish;7.21;5.41;29.36
01/01/26 14.15;Catfish;7.24;5.56;29.5
01/01/26 14.30;Catfish;7.08;5.22;29.37
01/01/26 14.45;Catfish;7.14;5.22;29.59
01/01/26 15.00;Catfish;7.24;5.41;29.59
01/01/26 15.15;Catfish;7.18;5.31;29.5
01/01/26 15.30;Catfish;7.18;5.22;29.25
01/01/26 15.45;Catfish;6.99;5.19;29.34
01/01/26 16.00;Catfish;7.15;4.84;29.31
01/01/26 16.15;Catfish;7.17;5.15;29.37
01/01/26 16.30;Catfish;7.1;5.34;29.28
01/01/26 16.45;Catfish;7.1;5.35;29.25
01/01/26 17.00;Catfish;7.09;5.13;29.09
01/01/26 17.15;Catfish;7.01;4.84;29.02
01/01/26 17.30;Catfish;7.08;5.16;29.16
01/01/26 17.45;Catfish;7.1;5.29;28.94
01/01/26 18.00;Catfish;7.13;4.83;28.87
01/01/26 18.15;Catfish;7.34;5.02;28.92
01/01/26 18.30;Catfish;7.26;5.01;28.91
01/01/26 18.45;Catfish;7.2;5.01;28.79
01/01/26 19.00;Catfish;7.1;4.78;28.87
01/01/26 19.15;Catfish;7.14;4.82;29.16
01/01/26 19.30;Catfish;7.25;5.14;28.91
01/01/26 19.45;Catfish;7.17;4.68;28.68
01/01/26 20.00;Catfish;7.18;4.44;28.96
01/01/26 20.15;Catfish;7.12;5.04;28.75
01/01/26 20.30;Catfish;7.03;4.57;28.71
01/01/26 20.45;Catfish;7.18;4.78;28.69
01/01/26 21.00;Catfish;7.07;5.02;28.66
01/01/26 21.15;Catfish;7.15;4.62;28.63
01/01/26 21.30;Catfish;7.08;4.54;28.58
01/01/26 21.45;Catfish;7.23;4.77;28.49
01/01/26 22.00;Catfish;7.2;4.74;28.49
01/01/26 22.15;Catfish;7.02;4.89;28.48
01/01/26 22.30;Catfish;7.14;4.62;28.73
01/01/26 22.45;Catfish;7.04;4.53;28.53
01/01/26 23.00;Catfish;7.07;4.48;28.55
01/01/26 23.15;Catfish;7.09;4.28;28.59
01/01/26 23.30;Catfish;6.92;4.34;28.49
01/01/26 23.45;Catfish;7.07;4.51;28.52
02/01/26 00.00;Catfish;7.04;4.3;28.49
02/01/26 00.15;Catfish;7.1;4.77;28.51
02/01/26 00.30;Catfish;7.02;4.28;28.55
02/01/26 00.45;Catfish;7.05;3.93;28.65
02/01/26 01.00;Catfish;7.05;4.53;28.79
02/01/26 01.15;Catfish;7.11;4.4;28.76
02/01/26 01.30;Catfish;6.99;4.29;28.61
02/01/26 01.45;Catfish;7.12;4.71;28.76
02/01/26 02.00;Catfish;6.96;4.28;28.63
02/01/26 02.15;Catfish;6.94;4.62;28.73
02/01/26 02.30;Catfish;7.03;4.76;29
02/01/26 02.45;Catfish;7.01;4.23;28.81
02/01/26 03.00;Catfish;7.14;4.42;28.91
02/01/26 03.15;Catfish;7.08;4.5;28.92
02/01/26 03.30;Catfish;7.1;4.43;28.94
02/01/26 03.45;Catfish;7.07;4.57;28.92
02/01/26 04.00;Catfish;7.13;4.82;29
02/01/26 04.15;Catfish;7.04;4.39;29.21
02/01/26 04.30;Catfish;7.13;4.87;29.04
02/01/26 04.45;Catfish;7.12;4.91;29.06
02/01/26 05.00;Catfish;7.2;4.69;29.39
02/01/26 05.15;Catfish;7.19;4.86;29
02/01/26 05.30;Catfish;7.16;4.37;29.05
02/01/26 05.45;Catfish;7.12;4.83;29.27
02/01/26 06.00;Catfish;6.98;4.73;29.21
02/01/26 06.15;Catfish;7;4.94;29.4
02/01/26 06.30;Catfish;7.15;4.82;29.48
02/01/26 06.45;Catfish;7.04;5.09;29.21
02/01/26 07.00;Catfish;7.09;4.6;29.36
02/01/26 07.15;Catfish;7.04;4.85;29.54
02/01/26 07.30;Catfish;7.09;4.91;29.76
02/01/26 07.45;Catfish;7.15;5.11;29.55
02/01/26 08.00;Catfish;7.14;5.09;29.6
02/01/26 08.15;Catfish;7.07;5.13;29.5
02/01/26 08.30;Catfish;7.18;5.26;29.61
02/01/26 08.45;Catfish;7.23;4.91;29.7
02/01/26 09.00;Catfish;7.15;5.15;29.74
02/01/26 09.15;Catfish;7.1;5.16;29.73
02/01/26 09.30;Catfish;7.14;4.81;29.69
02/01/26 09.45;Catfish;6.94;5.32;29.62
02/01/26 10.00;Catfish;7.12;5.36;29.82
02/01/26 10.15;Catfish;7.21;5.37;29.72
02/01/26 10.30;Catfish;7.16;5.14;29.69
02/01/26 10.45;Catfish;7.19;5.3;29.75
02/01/26 11.00;Catfish;7.2;5.46;29.82
02/01/26 11.15;Catfish;7.2;4.99;29.63
02/01/26 11.30;Catfish;6.99;5.38;29.73
02/01/26 11.45;Catfish;7.22;5.2;29.81
02/01/26 12.00;Catfish;7.23;5.4;29.69
02/01/26 12.15;Catfish;7.3;5.62;29.51
02/01/26 12.30;Catfish;7.27;5.56;29.65
02/01/26 12.45;Catfish;7.22;5.36;29.76
02/01/26 13.00;Catfish;7.18;5.38;29.73
02/01/26 13.15;Catfish;7.21;5.45;29.7
02/01/26 13.30;Catfish;6.93;5.3;29.7
02/01/26 13.45;Catfish;7.14;5.4;29.52
02/01/26 14.00;Catfish;7;5.72;29.53
02/01/26 14.15;Catfish;7.22;5.36;29.56
02/01/26 14.30;Catfish;7.18;5.02;29.57
02/01/26 14.45;Catfish;7.32;5.01;29.36
02/01/26 15.00;Catfish;7.29;5.26;29.5
02/01/26 15.15;Catfish;7.26;4.95;29.46
02/01/26 15.30;Catfish;7.29;4.85;29.41
02/01/26 15.45;Catfish;7.1;5.53;29.37
02/01/26 16.00;Catfish;7.2;5.33;29.41
02/01/26 16.15;Catfish;7.16;5.17;29.1
02/01/26 16.30;Catfish;7.17;5.3;29.29
02/01/26 16.45;Catfish;6.97;5.09;29.06
02/01/26 17.00;Catfish;7.11;5.14;29.23
02/01/26 17.15;Catfish;7.12;4.88;29.2
02/01/26 17.30;Catfish;7.13;4.99;28.88
02/01/26 17.45;Catfish;7.01;5.07;28.91
02/01/26 18.00;Catfish;7.12;4.79;28.9
02/01/26 18.15;Catfish;7.1;5.29;29.01
02/01/26 18.30;Catfish;7.13;4.92;29.04
02/01/26 18.45;Catfish;7.04;5.26;28.85
02/01/26 19.00;Catfish;7.05;4.76;28.8
02/01/26 19.15;Catfish;7.17;4.53;28.75
02/01/26 19.30;Catfish;7.1;4.54;28.69
02/01/26 19.45;Catfish;7.06;4.58;28.68
02/01/26 20.00;Catfish;7.11;4.35;28.57
02/01/26 20.15;Catfish;7.06;4.4;28.57
02/01/26 20.30;Catfish;7.25;4.64;28.63
02/01/26 20.45;Catfish;7.04;4.97;28.7
02/01/26 21.00;Catfish;7.03;4.36;28.64
02/01/26 21.15;Catfish;7.12;5.06;28.67
02/01/26 21.30;Catfish;7.1;4.62;28.61
