scenario,decision_accuracy_mean,decision_accuracy_sd,decision_accuracy_ci_low,decision_accuracy_ci_high,n_seeds
CNN_GRU_Attention,0.9156410256410258,0.006040625122763997,0.9081405988994445,0.923141452382607,5
Full_Assessment_GRU,0.923076923076923,0.011715171078523772,0.9085306169159221,0.937623229237924,5
Full_Assessment_Guided_LSTM,0.9287179487179488,0.010280420613707424,0.9159531205555164,0.9414827768803812,5
GRU_NBeats_lite,0.8856410256410256,0.014114214302074754,0.8681159138792067,0.9031661374028446,5
LSTM_Excursion,0.9233333333333335,0.008077940513858167,0.9133032454176442,0.9333634212490227,5
LSTM_Stability,0.9251282051282053,0.010976335791284115,0.9114992841439723,0.9387571261124382,5
LSTM_Suitability,0.9223076923076923,0.005176058779022172,0.9158807664691939,0.9287346181461906,5
Persistence_Baseline,0.8794871794871795,0.0,0.8794871794871795,0.8794871794871795,1
Raw_GRU,0.9246153846153847,0.00917361221538376,0.9132248405940604,0.9360059286367091,5
Raw_LSTM,0.9217948717948719,0.008158924398306337,0.9116642291054285,0.9319255144843152,5
