model,TP_event,FP_event,FN_event,TN_event,false_alarm_rate,missed_alarm_rate,decision_accuracy,scenario,fold,seed
Persistence_Baseline__fold0__seedNA,80,14,80,606,0.02258064516129032,0.5,0.8794871794871795,Persistence_Baseline,0,NA
Raw_LSTM__fold0__seed42,138,39,22,581,0.06290322580645161,0.1375,0.9217948717948717,Raw_LSTM,0,42
Raw_LSTM__fold0__seed7,109,20,51,600,0.03225806451612903,0.31875,0.908974358974359,Raw_LSTM,0,7
Raw_LSTM__fold0__seed123,114,9,46,611,0.014516129032258065,0.2875,0.9294871794871795,Raw_LSTM,0,123
Raw_LSTM__fold0__seed2024,113,9,47,611,0.014516129032258065,0.29375,0.9282051282051282,Raw_LSTM,0,2024
Raw_LSTM__fold0__seed99,116,18,44,602,0.02903225806451613,0.275,0.9205128205128205,Raw_LSTM,0,99
Raw_GRU__fold0__seed42,133,30,27,590,0.04838709677419355,0.16875,0.926923076923077,Raw_GRU,0,42
Raw_GRU__fold0__seed7,130,30,30,590,0.04838709677419355,0.1875,0.9230769230769231,Raw_GRU,0,7
Raw_GRU__fold0__seed123,122,31,38,589,0.05,0.2375,0.9115384615384615,Raw_GRU,0,123
Raw_GRU__fold0__seed2024,132,31,28,589,0.05,0.175,0.9243589743589744,Raw_GRU,0,2024
Raw_GRU__fold0__seed99,137,26,23,594,0.041935483870967745,0.14375,0.9371794871794872,Raw_GRU,0,99
LSTM_Suitability__fold0__seed42,135,34,25,586,0.054838709677419356,0.15625,0.9243589743589744,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed7,122,24,38,596,0.03870967741935484,0.2375,0.9205128205128205,LSTM_Suitability,0,7
LSTM_Suitability__fold0__seed123,122,17,38,603,0.027419354838709678,0.2375,0.9294871794871795,LSTM_Suitability,0,123
LSTM_Suitability__fold0__seed2024,103,9,57,611,0.014516129032258065,0.35625,0.9153846153846154,LSTM_Suitability,0,2024
LSTM_Suitability__fold0__seed99,121,22,39,598,0.035483870967741936,0.24375,0.9217948717948717,LSTM_Suitability,0,99
