model,horizon_step,horizon,n_actual_events_total,n_detected_events_total,event_recall,n_pred_events_total,n_false_alarm_events_total,scenario,fold,seed
Persistence_Baseline__fold0__seedNA,1,15 min,37,16,0.43243243243243246,37,21,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,2,30 min,38,25,0.6578947368421053,37,16,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,3,45 min,38,22,0.5789473684210527,37,18,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,4,60 min,38,19,0.5,37,19,Persistence_Baseline,0,NA
Raw_LSTM__fold0__seed42,1,15 min,37,30,0.8108108108108109,11,1,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,2,30 min,38,34,0.8947368421052632,13,3,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,3,45 min,38,27,0.7105263157894737,11,3,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,4,60 min,38,30,0.7894736842105263,12,3,Raw_LSTM,0,42
Raw_GRU__fold0__seed42,1,15 min,37,29,0.7837837837837838,10,0,Raw_GRU,0,42
Raw_GRU__fold0__seed42,2,30 min,38,29,0.7631578947368421,10,2,Raw_GRU,0,42
Raw_GRU__fold0__seed42,3,45 min,38,28,0.7368421052631579,12,4,Raw_GRU,0,42
Raw_GRU__fold0__seed42,4,60 min,38,25,0.6578947368421053,12,4,Raw_GRU,0,42
LSTM_Suitability__fold0__seed42,1,15 min,37,29,0.7837837837837838,10,2,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,2,30 min,38,29,0.7631578947368421,11,3,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,3,45 min,38,28,0.7368421052631579,13,3,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,4,60 min,38,30,0.7894736842105263,13,2,LSTM_Suitability,0,42
LSTM_Excursion__fold0__seed42,1,15 min,37,29,0.7837837837837838,10,1,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,2,30 min,38,30,0.7894736842105263,9,0,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,3,45 min,38,29,0.7631578947368421,11,1,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,4,60 min,38,30,0.7894736842105263,11,1,LSTM_Excursion,0,42
LSTM_Stability__fold0__seed42,1,15 min,37,31,0.8378378378378378,10,1,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,2,30 min,38,34,0.8947368421052632,10,1,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,3,45 min,38,31,0.8157894736842105,14,3,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,4,60 min,38,31,0.8157894736842105,12,3,LSTM_Stability,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,1,15 min,37,29,0.7837837837837838,10,2,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,2,30 min,38,30,0.7894736842105263,11,2,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,3,45 min,38,27,0.7105263157894737,9,1,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,4,60 min,38,29,0.7631578947368421,9,0,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_GRU__fold0__seed42,1,15 min,37,30,0.8108108108108109,10,1,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,2,30 min,38,32,0.8421052631578947,9,0,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,3,45 min,38,29,0.7631578947368421,11,2,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,4,60 min,38,28,0.7368421052631579,11,1,Full_Assessment_GRU,0,42
GRU_NBeats_lite__fold0__seed42,1,15 min,37,32,0.8648648648648649,15,5,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,2,30 min,38,35,0.9210526315789473,10,1,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,3,45 min,38,35,0.9210526315789473,13,4,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,4,60 min,38,33,0.868421052631579,10,1,GRU_NBeats_lite,0,42
CNN_GRU_Attention__fold0__seed42,1,15 min,37,28,0.7567567567567568,9,1,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,2,30 min,38,31,0.8157894736842105,9,1,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,3,45 min,38,30,0.7894736842105263,10,2,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,4,60 min,38,32,0.8421052631578947,10,2,CNN_GRU_Attention,0,42
