model,horizon_step,horizon,actual_low,pred_low,TP,FP,FN,TN,precision,recall,f1_score,scenario,fold,seed
Persistence_Baseline__fold0__seedNA,1,15 min,92,94,57,37,35,651,0.6063829787234043,0.6195652173913043,0.6129032258064516,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,2,30 min,91,94,61,33,30,656,0.648936170212766,0.6703296703296703,0.6594594594594595,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,3,45 min,91,94,55,39,36,650,0.5851063829787234,0.6043956043956044,0.5945945945945946,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,4,60 min,91,94,53,41,38,648,0.5638297872340425,0.5824175824175825,0.572972972972973,Persistence_Baseline,0,NA
Raw_LSTM__fold0__seed42,1,15 min,92,154,84,70,8,618,0.5454545454545454,0.9130434782608695,0.6829268292682927,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,2,30 min,91,158,83,75,8,614,0.5253164556962026,0.9120879120879121,0.6666666666666666,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,3,45 min,91,133,70,63,21,626,0.5263157894736842,0.7692307692307693,0.625,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,4,60 min,91,156,77,79,14,610,0.4935897435897436,0.8461538461538461,0.6234817813765182,Raw_LSTM,0,42
Raw_LSTM__fold0__seed7,1,15 min,92,107,70,37,22,651,0.6542056074766355,0.7608695652173914,0.7035175879396985,Raw_LSTM,0,7
Raw_LSTM__fold0__seed7,2,30 min,91,109,65,44,26,645,0.5963302752293578,0.7142857142857143,0.65,Raw_LSTM,0,7
Raw_LSTM__fold0__seed7,3,45 min,91,102,63,39,28,650,0.6176470588235294,0.6923076923076923,0.6528497409326425,Raw_LSTM,0,7
Raw_LSTM__fold0__seed7,4,60 min,91,104,61,43,30,646,0.5865384615384616,0.6703296703296703,0.6256410256410256,Raw_LSTM,0,7
Raw_LSTM__fold0__seed123,1,15 min,92,110,72,38,20,650,0.6545454545454545,0.782608695652174,0.7128712871287128,Raw_LSTM,0,123
Raw_LSTM__fold0__seed123,2,30 min,91,104,68,36,23,653,0.6538461538461539,0.7472527472527473,0.6974358974358974,Raw_LSTM,0,123
Raw_LSTM__fold0__seed123,3,45 min,91,113,71,42,20,647,0.6283185840707964,0.7802197802197802,0.696078431372549,Raw_LSTM,0,123
Raw_LSTM__fold0__seed123,4,60 min,91,110,71,39,20,650,0.6454545454545455,0.7802197802197802,0.7064676616915423,Raw_LSTM,0,123
Raw_LSTM__fold0__seed2024,1,15 min,92,108,73,35,19,653,0.6759259259259259,0.7934782608695652,0.73,Raw_LSTM,0,2024
