model,horizon_step,horizon,MAE,RMSE,MAPE,R2,scenario,fold,seed
Persistence_Baseline__fold0__seedNA,1,15 min,0.32253846153846155,0.42032618591292,6.793888314309707,0.7435669245124042,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,2,30 min,0.3199230769230769,0.4160014176504444,6.733030654155163,0.7481295639698261,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,3,45 min,0.33924358974358976,0.4480603496439703,7.210801356311052,0.70601328027735,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,4,60 min,0.352025641025641,0.45974658571535154,7.391826983018316,0.6912589457599148,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,overall,overall,0.3334326923076923,0.4364218950887095,7.03238682694856,0.7223098221734028,Persistence_Baseline,0,NA
Raw_LSTM__fold0__seed42,1,15 min,0.28892145507763595,0.3633675851006151,6.01742495289278,0.8083567565852311,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,2,30 min,0.2909297573260772,0.36828880984470636,6.080489028319542,0.8025920586602783,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,3,45 min,0.2662445032535455,0.34437689890652257,5.602073410572772,0.826330838524371,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,4,60 min,0.2918625228099334,0.3700039664741268,6.06408629000944,0.800027573241149,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,overall,overall,0.284489559616798,0.36165281454239473,5.941018420448634,0.80930857875899,Raw_LSTM,0,42
Raw_LSTM__fold0__seed7,1,15 min,0.2444103991679656,0.32280334755403867,5.169093834270854,0.8487563301590535,Raw_LSTM,0,7
Raw_LSTM__fold0__seed7,2,30 min,0.2583462628706908,0.3388390958850796,5.4430717510704785,0.8329007112751001,Raw_LSTM,0,7
Raw_LSTM__fold0__seed7,3,45 min,0.2578940625190735,0.3342854794917434,5.4484499052824225,0.8363599097771507,Raw_LSTM,0,7
Raw_LSTM__fold0__seed7,4,60 min,0.2527901869186988,0.33039458944917305,5.305228689469036,0.8405504819645362,Raw_LSTM,0,7
Raw_LSTM__fold0__seed7,overall,overall,0.2533602278691072,0.33163281676751477,5.341461045023197,0.8396524028490618,Raw_LSTM,0,7
Raw_LSTM__fold0__seed123,1,15 min,0.2497735110551883,0.32792269292274884,5.309153709148174,0.8439211377246371,Raw_LSTM,0,123
