scenario,horizon,RMSE_fold0,RMSE_fold1,RMSE_fold2
Raw_LSTM,15 min,0.331527060946846,0.41355796643694775,0.33485768712378217
Raw_LSTM,30 min,0.33760851359471167,0.4229465996624865,0.3253262416094141
Raw_LSTM,45 min,0.334244680057812,0.43024258616758304,0.3147824490445808
Raw_LSTM,60 min,0.3379455150634698,0.44111041316394234,0.32851280704618946
Raw_GRU,15 min,0.3528950847126067,0.41160255697630077,0.3403492851514683
Raw_GRU,30 min,0.3501266888366512,0.4243641456759152,0.3124700907202385
Raw_GRU,45 min,0.35229082784970706,0.4252419310725016,0.3323217720072101
Raw_GRU,60 min,0.35390213752876226,0.44055115146564555,0.33615100778750984
LSTM_Suitability,15 min,0.33851719177628714,0.4227919685329951,0.3319982121553399
LSTM_Suitability,30 min,0.33506509423588826,0.4253376329761426,0.3175537344440569
LSTM_Suitability,45 min,0.33416957554003524,0.481148534977945,0.3087809246318635
LSTM_Suitability,60 min,0.33782308922436644,0.456074675723843,0.3408948706750634
LSTM_Excursion,15 min,0.34458536952050384,0.462091551224112,0.33736443262027704
LSTM_Excursion,30 min,0.339969825581612,0.5016108455296262,0.3153422989012479
LSTM_Excursion,45 min,0.34198106709041554,0.5196345203673332,0.31365579898192786
LSTM_Excursion,60 min,0.3424022483397464,0.5384645875847964,0.3300394399992192
LSTM_Stability,15 min,0.3418387407863832,0.4064011269305557,0.3394904056085176
LSTM_Stability,30 min,0.3426892252459903,0.4157020513840278,0.33536515208139206
LSTM_Stability,45 min,0.34108829259778606,0.4217642855733555,0.3244963546067017
LSTM_Stability,60 min,0.3387897601298616,0.43376395988488153,0.3281608193949011
Full_Assessment_Guided_LSTM,15 min,0.34676837706302205,0.5360865150139107,0.3508325564511175
Full_Assessment_Guided_LSTM,30 min,0.3513003481332855,0.6218984287046373,0.3402386368219558
Full_Assessment_Guided_LSTM,45 min,0.3433635495056578,0.7191904747645653,0.32986541760372345
Full_Assessment_Guided_LSTM,60 min,0.34105201676022406,0.6467148266201805,0.3255171532274073
Full_Assessment_GRU,15 min,0.3551514478184403,0.44754819952667174,0.33671873804293945
Full_Assessment_GRU,30 min,0.35011283505036445,0.4528007926320625,0.34472241586530133
Full_Assessment_GRU,45 min,0.34805374255793575,0.48368389411719326,0.31962384188168885
Full_Assessment_GRU,60 min,0.3528921270857429,0.4866773478587485,0.359963974377885
GRU_NBeats_lite,15 min,0.5463797101716799,0.6274931713295726,0.45528490590005977
GRU_NBeats_lite,30 min,0.5427788860186936,0.561810408903199,0.4265467647339143
GRU_NBeats_lite,45 min,0.5366996347315242,0.5808090675840822,0.4579542122409629
GRU_NBeats_lite,60 min,0.5322086369988042,0.5829596295961563,0.43707480243591307
CNN_GRU_Attention,15 min,0.41988751747508984,0.4768753383339207,0.37610543823475895
CNN_GRU_Attention,30 min,0.41722075169397704,0.5158337986064602,0.3564361344760804
CNN_GRU_Attention,45 min,0.41532703339606736,0.5200814380962715,0.3669431154855476
CNN_GRU_Attention,60 min,0.4231374283642742,0.4974093239071744,0.42084398949847823
