scenario,horizon,RMSE_mean,RMSE_sd,RMSE_ci_low,RMSE_ci_high,n_seeds
CNN_GRU_Attention,15 min,0.41988751747508984,0.019835090018105943,0.3952590002984768,0.44451603465170286,5
CNN_GRU_Attention,30 min,0.41722075169397704,0.018627772874070896,0.3940913167495265,0.44035018663842757,5
CNN_GRU_Attention,45 min,0.41532703339606736,0.027003533651256646,0.3817977178370181,0.4488563489551166,5
CNN_GRU_Attention,60 min,0.42313742836427426,0.024918947463835685,0.39219646842529843,0.4540783883032501,5
Full_Assessment_GRU,15 min,0.3551514478184403,0.014058893002119772,0.33769502652310934,0.3726078691137713,5
Full_Assessment_GRU,30 min,0.3501128350503645,0.022122847110860298,0.3226436922550431,0.3775819778456859,5
Full_Assessment_GRU,45 min,0.3480537425579358,0.014905944573144845,0.32954556782224104,0.3665619172936306,5
Full_Assessment_GRU,60 min,0.3528921270857429,0.010149298314704498,0.3402901087613442,0.36549414541014164,5
Full_Assessment_Guided_LSTM,15 min,0.346768377063022,0.015753898960056953,0.3272073278929795,0.36632942623306447,5
Full_Assessment_Guided_LSTM,30 min,0.3513003481332855,0.019925223623635722,0.3265599153036578,0.37604078096291316,5
Full_Assessment_Guided_LSTM,45 min,0.3433635495056578,0.01046919374005621,0.33036432854840975,0.3563627704629058,5
Full_Assessment_Guided_LSTM,60 min,0.34105201676022406,0.014727138754321002,0.3227658587724322,0.35933817474801594,5
GRU_NBeats_lite,15 min,0.5463797101716799,0.05232444208542884,0.48141033420810486,0.6113490861352548,5
GRU_NBeats_lite,30 min,0.5427788860186935,0.04432200390938768,0.48774584943616023,0.5978119226012267,5
GRU_NBeats_lite,45 min,0.5366996347315242,0.05792633322193447,0.4647745922218933,0.608624677241155,5
GRU_NBeats_lite,60 min,0.5322086369988042,0.03390717827610733,0.49010731445268485,0.5743099595449235,5
LSTM_Excursion,15 min,0.34458536952050384,0.020367969156992988,0.3192951955017409,0.36987554353926677,5
LSTM_Excursion,30 min,0.33996982558161193,0.016017459312495666,0.3200815230105924,0.35985812815263146,5
LSTM_Excursion,45 min,0.34198106709041554,0.009455747577095375,0.3302402057478337,0.3537219284329974,5
LSTM_Excursion,60 min,0.3424022483397464,0.011282505704290876,0.3283931671971998,0.35641132948229304,5
LSTM_Stability,15 min,0.34183874078638327,0.024747211140419383,0.31111101965737736,0.37256646191538917,5
LSTM_Stability,30 min,0.3426892252459903,0.031711884519158746,0.30331371992335554,0.3820647305686251,5
LSTM_Stability,45 min,0.34108829259778606,0.014222045032456847,0.3234292913001517,0.3587472938954204,5
LSTM_Stability,60 min,0.3387897601298616,0.017597838663847204,0.31693915741476425,0.360640362844959,5
LSTM_Suitability,15 min,0.33851719177628714,0.012775846872171894,0.3226538826685471,0.35438050088402717,5
LSTM_Suitability,30 min,0.33506509423588826,0.014936243036981763,0.31651929898844633,0.3536108894833302,5
LSTM_Suitability,45 min,0.33416957554003524,0.008268272383772642,0.3239031593937623,0.3444359916863082,5
LSTM_Suitability,60 min,0.33782308922436644,0.007963281437326625,0.32793536935607365,0.3477108090926592,5
Persistence_Baseline,15 min,0.42032618591292,0.0,0.42032618591292,0.42032618591292,1
Persistence_Baseline,30 min,0.4160014176504444,0.0,0.4160014176504444,0.4160014176504444,1
Persistence_Baseline,45 min,0.4480603496439703,0.0,0.4480603496439703,0.4480603496439703,1
Persistence_Baseline,60 min,0.45974658571535154,0.0,0.45974658571535154,0.45974658571535154,1
Raw_GRU,15 min,0.35289508471260667,0.015380333137092639,0.33379787877589834,0.371992290649315,5
Raw_GRU,30 min,0.3501266888366512,0.013331375486168437,0.33357359984893964,0.3666797778243628,5
Raw_GRU,45 min,0.35229082784970706,0.008938995974718264,0.341191598367811,0.3633900573316031,5
Raw_GRU,60 min,0.35390213752876226,0.008607065087027696,0.3432150546800034,0.3645892203775211,5
Raw_LSTM,15 min,0.331527060946846,0.018024618558621714,0.30914654100124994,0.353907580892442,5
Raw_LSTM,30 min,0.3376085135947116,0.01800794044110092,0.3152487022671989,0.3599683249222243,5
Raw_LSTM,45 min,0.334244680057812,0.00958200649765062,0.32234704755912463,0.34614231255649935,5
Raw_LSTM,60 min,0.3379455150634698,0.01827513283227942,0.31525394056323686,0.3606370895637028,5
