model,horizon,threshold_scale,recall,precision,n_positive,scenario,fold,seed
Persistence_Baseline__fold0__seedNA,15 min,0.8,0.0,0.0,5,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,15 min,0.9,0.2903225806451613,0.28125,31,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,15 min,1.0,0.6195652173913043,0.6063829787234043,92,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,15 min,1.1,0.7732558139534884,0.7732558139534884,172,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,15 min,1.2,0.8685258964143426,0.8685258964143426,251,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,30 min,0.8,0.2,0.2,5,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,30 min,0.9,0.3,0.28125,30,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,30 min,1.0,0.6703296703296703,0.648936170212766,91,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,30 min,1.1,0.7965116279069767,0.7965116279069767,172,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,30 min,1.2,0.8565737051792829,0.8565737051792829,251,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,45 min,0.8,0.0,0.0,5,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,45 min,0.9,0.1724137931034483,0.15625,29,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,45 min,1.0,0.6043956043956044,0.5851063829787234,91,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,45 min,1.1,0.7906976744186046,0.7906976744186046,172,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,45 min,1.2,0.8366533864541833,0.8366533864541833,251,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,60 min,0.8,0.0,0.0,5,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,60 min,0.9,0.41379310344827586,0.375,29,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,60 min,1.0,0.5824175824175825,0.5638297872340425,91,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,60 min,1.1,0.7341040462427746,0.7383720930232558,173,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,60 min,1.2,0.8446215139442231,0.8446215139442231,251,Persistence_Baseline,0,NA
Raw_LSTM__fold0__seed42,15 min,0.8,0.0,0.0,5,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,15 min,0.9,0.5806451612903226,0.375,31,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,15 min,1.0,0.9130434782608695,0.5454545454545454,92,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,15 min,1.1,0.9651162790697675,0.6974789915966386,172,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,15 min,1.2,0.9641434262948207,0.8287671232876712,251,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,30 min,0.8,0.0,0.0,5,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,30 min,0.9,0.6,0.33962264150943394,30,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,30 min,1.0,0.9120879120879121,0.5253164556962026,91,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,30 min,1.1,0.9651162790697675,0.6916666666666667,172,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,30 min,1.2,0.9601593625498008,0.8169491525423729,251,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,45 min,0.8,0.0,0.0,5,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,45 min,0.9,0.3793103448275862,0.3548387096774194,29,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,45 min,1.0,0.7692307692307693,0.5263157894736842,91,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,45 min,1.1,0.9534883720930233,0.7130434782608696,172,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,45 min,1.2,0.9641434262948207,0.8461538461538461,251,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,60 min,0.8,0.0,0.0,5,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,60 min,0.9,0.6206896551724138,0.32727272727272727,29,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,60 min,1.0,0.8461538461538461,0.4935897435897436,91,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,60 min,1.1,0.9710982658959537,0.6942148760330579,173,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,60 min,1.2,0.9760956175298805,0.8193979933110368,251,Raw_LSTM,0,42
Raw_GRU__fold0__seed42,15 min,0.8,0.0,0.0,5,Raw_GRU,0,42
Raw_GRU__fold0__seed42,15 min,0.9,0.3225806451612903,0.3225806451612903,31,Raw_GRU,0,42
Raw_GRU__fold0__seed42,15 min,1.0,0.8913043478260869,0.5616438356164384,92,Raw_GRU,0,42
Raw_GRU__fold0__seed42,15 min,1.1,0.936046511627907,0.7123893805309734,172,Raw_GRU,0,42
Raw_GRU__fold0__seed42,15 min,1.2,0.9601593625498008,0.8253424657534246,251,Raw_GRU,0,42
Raw_GRU__fold0__seed42,30 min,0.8,0.0,0.0,5,Raw_GRU,0,42
Raw_GRU__fold0__seed42,30 min,0.9,0.3333333333333333,0.3333333333333333,30,Raw_GRU,0,42
Raw_GRU__fold0__seed42,30 min,1.0,0.8681318681318682,0.5374149659863946,91,Raw_GRU,0,42
Raw_GRU__fold0__seed42,30 min,1.1,0.9534883720930233,0.7068965517241379,172,Raw_GRU,0,42
Raw_GRU__fold0__seed42,30 min,1.2,0.9561752988047809,0.8333333333333334,251,Raw_GRU,0,42
Raw_GRU__fold0__seed42,45 min,0.8,0.0,0.0,5,Raw_GRU,0,42
Raw_GRU__fold0__seed42,45 min,0.9,0.3103448275862069,0.2903225806451613,29,Raw_GRU,0,42
Raw_GRU__fold0__seed42,45 min,1.0,0.8461538461538461,0.5968992248062015,91,Raw_GRU,0,42
Raw_GRU__fold0__seed42,45 min,1.1,0.9302325581395349,0.7207207207207207,172,Raw_GRU,0,42
Raw_GRU__fold0__seed42,45 min,1.2,0.952191235059761,0.8415492957746479,251,Raw_GRU,0,42
Raw_GRU__fold0__seed42,60 min,0.8,0.0,0.0,5,Raw_GRU,0,42
