model,horizon_step,horizon,actual_low,pred_low,TP,FP,FN,TN,precision,recall,f1_score,scenario,fold,seed
PatchTST_lite__fold0__seed42,1,15 min,92,135,78,57,14,631,0.5777777777777777,0.8478260869565217,0.6872246696035242,PatchTST_lite,0,42
PatchTST_lite__fold0__seed42,2,30 min,91,109,69,40,22,649,0.6330275229357798,0.7582417582417582,0.69,PatchTST_lite,0,42
PatchTST_lite__fold0__seed42,3,45 min,91,116,71,45,20,644,0.6120689655172413,0.7802197802197802,0.6859903381642513,PatchTST_lite,0,42
PatchTST_lite__fold0__seed42,4,60 min,91,130,74,56,17,633,0.5692307692307692,0.8131868131868132,0.669683257918552,PatchTST_lite,0,42
PatchTST_lite__fold0__seed7,1,15 min,92,185,89,96,3,592,0.4810810810810811,0.967391304347826,0.6425992779783394,PatchTST_lite,0,7
PatchTST_lite__fold0__seed7,2,30 min,91,195,88,107,3,582,0.4512820512820513,0.967032967032967,0.6153846153846154,PatchTST_lite,0,7
PatchTST_lite__fold0__seed7,3,45 min,91,182,85,97,6,592,0.46703296703296704,0.9340659340659341,0.6227106227106227,PatchTST_lite,0,7
PatchTST_lite__fold0__seed7,4,60 min,91,187,87,100,4,589,0.46524064171123,0.9560439560439561,0.6258992805755396,PatchTST_lite,0,7
PatchTST_lite__fold0__seed123,1,15 min,92,154,83,71,9,617,0.538961038961039,0.9021739130434783,0.6747967479674797,PatchTST_lite,0,123
PatchTST_lite__fold0__seed123,2,30 min,91,139,78,61,13,628,0.5611510791366906,0.8571428571428571,0.6782608695652174,PatchTST_lite,0,123
PatchTST_lite__fold0__seed123,3,45 min,91,138,77,61,14,628,0.5579710144927537,0.8461538461538461,0.6724890829694323,PatchTST_lite,0,123
PatchTST_lite__fold0__seed123,4,60 min,91,128,76,52,15,637,0.59375,0.8351648351648352,0.6940639269406392,PatchTST_lite,0,123
PatchTST_lite__fold0__seed2024,1,15 min,92,143,80,63,12,625,0.5594405594405595,0.8695652173913043,0.6808510638297872,PatchTST_lite,0,2024
PatchTST_lite__fold0__seed2024,2,30 min,91,145,82,63,9,626,0.5655172413793104,0.9010989010989011,0.6949152542372882,PatchTST_lite,0,2024
PatchTST_lite__fold0__seed2024,3,45 min,91,138,74,64,17,625,0.5362318840579711,0.8131868131868132,0.6462882096069869,PatchTST_lite,0,2024
PatchTST_lite__fold0__seed2024,4,60 min,91,170,85,85,6,604,0.5,0.9340659340659341,0.6513409961685823,PatchTST_lite,0,2024
PatchTST_lite__fold0__seed99,1,15 min,92,121,74,47,18,641,0.6115702479338843,0.8043478260869565,0.6948356807511737,PatchTST_lite,0,99
PatchTST_lite__fold0__seed99,2,30 min,91,126,73,53,18,636,0.5793650793650794,0.8021978021978022,0.6728110599078341,PatchTST_lite,0,99
PatchTST_lite__fold0__seed99,3,45 min,91,140,77,63,14,626,0.55,0.8461538461538461,0.6666666666666666,PatchTST_lite,0,99
PatchTST_lite__fold0__seed99,4,60 min,91,146,77,69,14,620,0.5273972602739726,0.8461538461538461,0.6497890295358649,PatchTST_lite,0,99
PatchTST_lite__fold1__seed42,1,15 min,206,158,134,24,72,806,0.8481012658227848,0.6504854368932039,0.7362637362637363,PatchTST_lite,1,42
PatchTST_lite__fold1__seed42,2,30 min,206,138,122,16,84,814,0.8840579710144928,0.5922330097087378,0.7093023255813954,PatchTST_lite,1,42
PatchTST_lite__fold1__seed42,3,45 min,206,144,123,21,83,809,0.8541666666666666,0.5970873786407767,0.7028571428571428,PatchTST_lite,1,42
PatchTST_lite__fold1__seed42,4,60 min,206,141,120,21,86,809,0.851063829787234,0.5825242718446602,0.69164265129683,PatchTST_lite,1,42
PatchTST_lite__fold2__seed42,1,15 min,96,146,83,63,13,873,0.5684931506849316,0.8645833333333334,0.6859504132231405,PatchTST_lite,2,42
PatchTST_lite__fold2__seed42,2,30 min,97,136,81,55,16,880,0.5955882352941176,0.8350515463917526,0.6952789699570815,PatchTST_lite,2,42
PatchTST_lite__fold2__seed42,3,45 min,99,136,84,52,15,881,0.6176470588235294,0.8484848484848485,0.7148936170212766,PatchTST_lite,2,42
PatchTST_lite__fold2__seed42,4,60 min,100,152,86,66,14,866,0.5657894736842105,0.86,0.6825396825396826,PatchTST_lite,2,42
