model,horizon_step,horizon,MAE,RMSE,MAPE,R2,scenario,fold,seed
PatchTST_lite__fold0__seed42,1,15 min,0.2826048154097337,0.3564016172503671,5.843001901816239,0.8156341503251723,PatchTST_lite,0,42
PatchTST_lite__fold0__seed42,2,30 min,0.2614530621064015,0.33558153944696134,5.452109506420657,0.8360982099375478,PatchTST_lite,0,42
PatchTST_lite__fold0__seed42,3,45 min,0.2687685352349893,0.34185504885653945,5.545520321531934,0.8288650618163712,PatchTST_lite,0,42
PatchTST_lite__fold0__seed42,4,60 min,0.2762918053773733,0.3487324801204271,5.694499634436707,0.8223594315206433,PatchTST_lite,0,42
PatchTST_lite__fold0__seed42,overall,overall,0.27227955453212443,0.34572977146751505,5.633782841051384,0.8257306484670639,PatchTST_lite,0,42
PatchTST_lite__fold0__seed7,1,15 min,0.34318822522041126,0.4181335519314139,7.19913627060182,0.7462353157176695,PatchTST_lite,0,7
PatchTST_lite__fold0__seed7,2,30 min,0.37436915120100367,0.4500946305900936,7.855740394173441,0.7051540023592786,PatchTST_lite,0,7
PatchTST_lite__fold0__seed7,3,45 min,0.34066620216614163,0.41605028021544516,7.139467405872946,0.7465184680044865,PatchTST_lite,0,7
PatchTST_lite__fold0__seed7,4,60 min,0.33679566845527065,0.41632808290175943,7.122491441623574,0.746820364180578,PatchTST_lite,0,7
PatchTST_lite__fold0__seed7,overall,overall,0.3487548117607068,0.42539621296410773,7.329208878067944,0.7361636102340328,PatchTST_lite,0,7
PatchTST_lite__fold0__seed123,1,15 min,0.2828797083145533,0.3612785165438516,6.0145464849586245,0.8105540082373401,PatchTST_lite,0,123
PatchTST_lite__fold0__seed123,2,30 min,0.26609262131421996,0.3446251508625184,5.642169385572209,0.8271451732249,PatchTST_lite,0,123
PatchTST_lite__fold0__seed123,3,45 min,0.2643573827254467,0.3433280367720297,5.593090957673085,0.8273871092264263,PatchTST_lite,0,123
PatchTST_lite__fold0__seed123,4,60 min,0.254658184944055,0.33470781757536444,5.419575283637401,0.8363601511986285,PatchTST_lite,0,123
PatchTST_lite__fold0__seed123,overall,overall,0.2669969743245687,0.3461185220061689,5.667345527960331,0.8253385191303271,PatchTST_lite,0,123
PatchTST_lite__fold0__seed2024,1,15 min,0.2902042350157713,0.3654056112518559,6.048878062398848,0.8062009822822471,PatchTST_lite,0,2024
PatchTST_lite__fold0__seed2024,2,30 min,0.2791370369226504,0.3566196220606347,5.884013967340864,0.8149035695289361,PatchTST_lite,0,2024
PatchTST_lite__fold0__seed2024,3,45 min,0.2921636317571004,0.3676150445165276,6.037251913035454,0.8021020759808505,PatchTST_lite,0,2024
PatchTST_lite__fold0__seed2024,4,60 min,0.31361282289945164,0.38902693583837317,6.495028434294062,0.7789366727045044,PatchTST_lite,0,2024
PatchTST_lite__fold0__seed2024,overall,overall,0.2937794316487435,0.36985861938573733,6.116293094267307,0.8005569324076244,PatchTST_lite,0,2024
PatchTST_lite__fold0__seed99,1,15 min,0.27527690285902756,0.34900694187254827,5.778519187224459,0.8232052852440745,PatchTST_lite,0,99
PatchTST_lite__fold0__seed99,2,30 min,0.2741890754455175,0.3496968389479224,5.755581582580185,0.8220200887413773,PatchTST_lite,0,99
PatchTST_lite__fold0__seed99,3,45 min,0.2910450410231566,0.3624611850270065,6.068627313698846,0.807612125072809,PatchTST_lite,0,99
PatchTST_lite__fold0__seed99,4,60 min,0.2980925889504262,0.36983381459566406,6.200144053077477,0.800211451596655,PatchTST_lite,0,99
PatchTST_lite__fold0__seed99,overall,overall,0.284650902069532,0.35785782292516655,5.950718034145243,0.8132896091863053,PatchTST_lite,0,99
PatchTST_lite__fold1__seed42,1,15 min,0.3488321561979051,0.4664050479318929,8.738849796921642,0.7692346012960491,PatchTST_lite,1,42
PatchTST_lite__fold1__seed42,2,30 min,0.35108818116795604,0.48899460591098837,8.980196152016617,0.7441960283630038,PatchTST_lite,1,42
PatchTST_lite__fold1__seed42,3,45 min,0.3553502546682321,0.49265563194433726,9.035162759104711,0.7386527900735904,PatchTST_lite,1,42
PatchTST_lite__fold1__seed42,4,60 min,0.35939645491971933,0.49768706934501317,9.134797166436979,0.7312865587134314,PatchTST_lite,1,42
PatchTST_lite__fold1__seed42,overall,overall,0.35366676173845313,0.4865828254331672,8.972251468619987,0.7459597291720718,PatchTST_lite,1,42
PatchTST_lite__fold2__seed42,1,15 min,0.26232980742935064,0.3379797569845036,5.364589522328507,0.8349514523820976,PatchTST_lite,2,42
PatchTST_lite__fold2__seed42,2,30 min,0.2500051517172377,0.3280647518455939,5.196858571628187,0.8448110086452728,PatchTST_lite,2,42
PatchTST_lite__fold2__seed42,3,45 min,0.2567331975652266,0.3355921869992056,5.3158077630886185,0.8389804012074521,PatchTST_lite,2,42
PatchTST_lite__fold2__seed42,4,60 min,0.2780710698190586,0.3563366110248516,5.698496567200799,0.8196232675576045,PatchTST_lite,2,42
PatchTST_lite__fold2__seed42,overall,overall,0.2617848066327184,0.3396522831758979,5.393938106061527,0.8345488077065802,PatchTST_lite,2,42
