scenario,family,fold,seed,n_train,n_val,n_test,train_seconds
Raw_LSTM,lstm,0,42,3620,772,780,69.4
Raw_LSTM,lstm,0,7,3620,772,780,80.6
Raw_LSTM,lstm,0,123,3620,772,780,63.1
Raw_LSTM,lstm,0,2024,3620,772,780,70.9
Raw_LSTM,lstm,0,99,3620,772,780,61.9
Raw_GRU,gru,0,42,3620,772,780,84.6
Raw_GRU,gru,0,7,3620,772,780,114.7
Raw_GRU,gru,0,123,3620,772,780,86.9
Raw_GRU,gru,0,2024,3620,772,780,75.9
Raw_GRU,gru,0,99,3620,772,780,93.1
LSTM_Suitability,lstm,0,42,3620,772,780,92.9
LSTM_Suitability,lstm,0,7,3620,772,780,111.8
LSTM_Suitability,lstm,0,123,3620,772,780,91.8
LSTM_Suitability,lstm,0,2024,3620,772,780,91.8
LSTM_Suitability,lstm,0,99,3620,772,780,91.7
LSTM_Excursion,lstm,0,42,3620,772,780,91.2
LSTM_Excursion,lstm,0,7,3620,772,780,89.3
LSTM_Excursion,lstm,0,123,3620,772,780,82.9
LSTM_Excursion,lstm,0,2024,3620,772,780,93.1
LSTM_Excursion,lstm,0,99,3620,772,780,100.3
LSTM_Stability,lstm,0,42,3620,772,780,68.1
LSTM_Stability,lstm,0,7,3620,772,780,70.6
LSTM_Stability,lstm,0,123,3620,772,780,82.4
LSTM_Stability,lstm,0,2024,3620,772,780,77.6
LSTM_Stability,lstm,0,99,3620,772,780,64.7
Full_Assessment_Guided_LSTM,lstm,0,42,3620,772,780,115.2
Full_Assessment_Guided_LSTM,lstm,0,7,3620,772,780,112.6
Full_Assessment_Guided_LSTM,lstm,0,123,3620,772,780,93.2
Full_Assessment_Guided_LSTM,lstm,0,2024,3620,772,780,73.8
Full_Assessment_Guided_LSTM,lstm,0,99,3620,772,780,96.8
Full_Assessment_GRU,gru,0,42,3620,772,780,112.3
Full_Assessment_GRU,gru,0,7,3620,772,780,64.3
Full_Assessment_GRU,gru,0,123,3620,772,780,88.7
Full_Assessment_GRU,gru,0,2024,3620,772,780,83.8
Full_Assessment_GRU,gru,0,99,3620,772,780,96.4
GRU_NBeats_lite,gru_nbeats,0,42,3620,772,780,49.4
GRU_NBeats_lite,gru_nbeats,0,7,3620,772,780,40.6
GRU_NBeats_lite,gru_nbeats,0,123,3620,772,780,69.0
GRU_NBeats_lite,gru_nbeats,0,2024,3620,772,780,55.2
GRU_NBeats_lite,gru_nbeats,0,99,3620,772,780,44.3
CNN_GRU_Attention,cnn_gru_attention,0,42,3620,772,780,99.7
CNN_GRU_Attention,cnn_gru_attention,0,7,3620,772,780,71.2
CNN_GRU_Attention,cnn_gru_attention,0,123,3620,772,780,116.9
CNN_GRU_Attention,cnn_gru_attention,0,2024,3620,772,780,85.8
CNN_GRU_Attention,cnn_gru_attention,0,99,3620,772,780,81.5
Raw_LSTM,lstm,1,42,2072,1032,1036,59.9
Raw_GRU,gru,1,42,2072,1032,1036,73.2
LSTM_Suitability,lstm,1,42,2072,1032,1036,39.6
LSTM_Excursion,lstm,1,42,2072,1032,1036,103.1
LSTM_Stability,lstm,1,42,2072,1032,1036,47.3
Full_Assessment_Guided_LSTM,lstm,1,42,2072,1032,1036,48.7
Full_Assessment_GRU,gru,1,42,2072,1032,1036,50.1
GRU_NBeats_lite,gru_nbeats,1,42,2072,1032,1036,29.4
CNN_GRU_Attention,cnn_gru_attention,1,42,2072,1032,1036,38.0
Raw_LSTM,lstm,2,42,3104,1036,1032,50.3
Raw_GRU,gru,2,42,3104,1036,1032,59.1
LSTM_Suitability,lstm,2,42,3104,1036,1032,78.6
LSTM_Excursion,lstm,2,42,3104,1036,1032,77.2
LSTM_Stability,lstm,2,42,3104,1036,1032,51.2
Full_Assessment_Guided_LSTM,lstm,2,42,3104,1036,1032,55.9
Full_Assessment_GRU,gru,2,42,3104,1036,1032,59.6
GRU_NBeats_lite,gru_nbeats,2,42,3104,1036,1032,37.9
CNN_GRU_Attention,cnn_gru_attention,2,42,3104,1036,1032,49.2
