pond,n_sequences,split,fold
Catfish,905,train,0
Gourami,905,train,0
Nilem,905,train,0
Tilapia,905,train,0
Catfish,193,validation,0
Gourami,193,validation,0
Nilem,193,validation,0
Tilapia,193,validation,0
Catfish,195,test,0
Gourami,195,test,0
Nilem,195,test,0
Tilapia,195,test,0
Catfish,518,train,1
Gourami,518,train,1
Nilem,518,train,1
Tilapia,518,train,1
Catfish,258,validation,1
Gourami,258,validation,1
Nilem,258,validation,1
Tilapia,258,validation,1
Catfish,259,test,1
Gourami,259,test,1
Nilem,259,test,1
Tilapia,259,test,1
Catfish,776,train,2
Gourami,776,train,2
Nilem,776,train,2
Tilapia,776,train,2
Catfish,259,validation,2
Gourami,259,validation,2
Nilem,259,validation,2
Tilapia,259,validation,2
Catfish,258,test,2
Gourami,258,test,2
Nilem,258,test,2
Tilapia,258,test,2
