model,horizon,roc_auc,pr_auc,scenario,fold,seed
Persistence_Baseline__fold0__seedNA,15 min,0.9174197421638018,0.5398169879829496,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,30 min,0.9211470677363276,0.6017094495818648,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,45 min,0.8907797572529068,0.5059229784081034,Persistence_Baseline,0,NA
Persistence_Baseline__fold0__seedNA,60 min,0.8952535128151964,0.5285430466419079,Persistence_Baseline,0,NA
Raw_LSTM__fold0__seed42,15 min,0.9603134479271992,0.7695364153445531,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,30 min,0.9569052137992633,0.7866790247079487,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,45 min,0.9484042807700283,0.7313628974050455,Raw_LSTM,0,42
Raw_LSTM__fold0__seed42,60 min,0.9511634954305491,0.7665897683763384,Raw_LSTM,0,42
Raw_GRU__fold0__seed42,15 min,0.9532671890798787,0.7751188731836143,Raw_GRU,0,42
Raw_GRU__fold0__seed42,30 min,0.9509880540359495,0.7776203482352995,Raw_GRU,0,42
Raw_GRU__fold0__seed42,45 min,0.9483245346815738,0.761470593490492,Raw_GRU,0,42
Raw_GRU__fold0__seed42,60 min,0.9491219955661174,0.7705152326629879,Raw_GRU,0,42
LSTM_Suitability__fold0__seed42,15 min,0.9578804347826088,0.7972883803650602,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,30 min,0.9538908116556883,0.79219074829726,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,45 min,0.9536356241726343,0.7819250342989603,LSTM_Suitability,0,42
LSTM_Suitability__fold0__seed42,60 min,0.9539705577441426,0.7972295148455206,LSTM_Suitability,0,42
LSTM_Excursion__fold0__seed42,15 min,0.9601870576339737,0.7932579889678036,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,30 min,0.9571125536292444,0.7947383263238074,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,45 min,0.9566181278808275,0.7938479082710775,LSTM_Excursion,0,42
LSTM_Excursion__fold0__seed42,60 min,0.9562353466562465,0.8019849690878059,LSTM_Excursion,0,42
LSTM_Stability__fold0__seed42,15 min,0.9566639282103134,0.7169889329617665,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,30 min,0.9507488157705865,0.6987204584651849,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,45 min,0.9480852964162108,0.7125061253069219,LSTM_Stability,0,42
LSTM_Stability__fold0__seed42,60 min,0.9513070383897669,0.7296159044604085,LSTM_Stability,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,15 min,0.9598868806875632,0.7714345755563748,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,30 min,0.9572082489353897,0.7703113423927844,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,45 min,0.9575910301599706,0.7716321181640186,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_Guided_LSTM__fold0__seed42,60 min,0.9561556005677921,0.7696058782990972,Full_Assessment_Guided_LSTM,0,42
Full_Assessment_GRU__fold0__seed42,15 min,0.9561899646107179,0.7742514120304382,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,30 min,0.9579897606022424,0.7834438171023962,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,45 min,0.9535080304311073,0.7625000374776643,Full_Assessment_GRU,0,42
Full_Assessment_GRU__fold0__seed42,60 min,0.9541300499210513,0.7711871502929709,Full_Assessment_GRU,0,42
GRU_NBeats_lite__fold0__seed42,15 min,0.9413707027300303,0.7284628151003522,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,30 min,0.9463946793409783,0.7256755033614749,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,45 min,0.9328697427391186,0.6629505875762605,GRU_NBeats_lite,0,42
GRU_NBeats_lite__fold0__seed42,60 min,0.9326464536914465,0.6904562959925338,GRU_NBeats_lite,0,42
CNN_GRU_Attention__fold0__seed42,15 min,0.9475322295247726,0.7336763189253548,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,30 min,0.948053397980829,0.7428946668927066,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,45 min,0.9507169173352047,0.758582312301162,CNN_GRU_Attention,0,42
CNN_GRU_Attention__fold0__seed42,60 min,0.9511953938659309,0.7621836515345414,CNN_GRU_Attention,0,42
